Provinces.Code,Provinces.Name,Year,NE.GDI.STKB.SNA08.CR,NE.GDI.EXPT.SNA08.CR,NE.GDI.CON.GOVT.SNA08.CR,NE.GDI.FTOT.SNA08.CR,NE.GDI.IMPT.SNA08.CR,NE.GDI.INEX.SNA08.CR,NE.GDI.CON.NPI.SNA08.CR,NE.GDI.CON.PRVT.SNA08.CR,NA.GDP.ACC.FB.SNA08.CR,NA.GDP.AGR.SNA08.CR,NA.GDP.BUSS.SNA08.CR,NA.GDP.CNST.SNA08.CR,NA.GDP.EDUS.SNA08.CR,NA.GDP.ELEC.GAS.SNA08.CR,NA.GDP.FINS.SNA08.CR,NA.GDP.HLTH.SOCW.SNA08.CR,NA.GDP.INF.COMM.SNA08.CR,NA.GDP.MNF.SNA08.CR,NA.GDP.MINQ.SNA08.CR,NA.GDP.SRV.OTHR.SNA08.CR,NA.GDP.PADM.DEF.SNA08.CR,NA.GDP.REST.SNA08.CR,NA.GDP.TRAN.STOR.SNA08.CR,NA.GDP.WTR.WST.SNA08.CR,NA.GDP.TRD.SNA08.CR,IDX.HDI.REV,SL.EMP.AGR.FRST.FSH,SL.EMP.CNST,SL.EMP.ELC,SL.EMP.FINS,SL.EMP.IND,SL.EMP.MINQ,SL.EMP.SOCL,SL.EMP.TRAD,SL.EMP.TRAN,SL.TLF,SI.POV.BPL,SI.POV.NAPR.ZS,NE.GDI.TOTL.SNA08.CR,Population,Jokowi.Vote,Prabowo.Vote
ID.SG,"Sulawesi Tenggara, Prop.",2013,292422.7,10531944.6,10897203.38,25473913.52,7067260.68,-6335197.32,758967.94,36489259.48,404096.4305,18095983.92,136981.1595,8329077.351,3020320.622,25319.76832,1601078.139,662907.1394,1451309.477,4181864.039,15582057.71,944613.6272,4035943.632,1194101.814,3160530.125,138821.8653,8076246.798,67.55,417001,54224,2555,15886,56921,30237,190168,181798,48441,1042947,330800,13.73,71041253.62,2396700,54.9,45.1
ID.SW,"Sulawesi Utara, Prop.",2013,56091.88,10481910.34,12349804.59,24452333.47,2588037.1,-7924681.32,1488735.07,32781303.72,1458840.055,15791585.71,57998.59,8449421.856,1983496.677,53060.93327,2772589.924,2588543.41,2755362.85,7267615.14,3511840.276,1125680.21,5690047.527,2489009.89,6148888.223,101634.06,8851845.33,69.49,333103,74315,3458,31040,52064,23402,184703,190921,72451,1035772,201100,8.5,71097460.65,2360400,53.88,46.12
ID.SB,"Sumatera Barat, Prop.",2013,767315.3872,21012073.65,19683675.57,43708931.99,12262950.71,-7854494.412,1579736.976,80265541.43,1570829.712,36256489.98,626817.0159,12884434.91,5418348.469,91668.46135,4633408.714,1969005.916,7731431.563,16185516.3,6756659.553,2373483.67,9244650.323,2836591.67,16493495.7,130186.2966,21696811.64,68.91,817903,100933,4837,43177,132286,36004,354369,472804,98796,2216687,384100,7.56,146899829.9,5066500,23.08,76.92
ID.SL,"Sumatera Selatan, Prop.",2013,1240029.226,43160760.98,22542613.64,115563405.9,8166713.398,-86041464.31,,188289444.9,3312413,52145884.76,291218,35535704,6860066.754,189508.4965,7254130.927,1616656,6710357,48087170.42,70029976,2077271,9054025,6762173,4951709.774,258843,25211357,66.16,1933891,134602,6815,79095,171486,52693,473733,544772,127796,3704132,1104600,14.06,276588076.9,7828700,48.74,51.26
ID.SU,"Sumatera Utara, Prop.",2013,7728374.688,105269291.3,37523215.11,150091474.8,63840801.69,,4675824.112,251415642.8,10598775.3,115190245.9,4224044.034,60232621.43,8848513.709,597739.0629,15738018.98,4020161.926,9594390.249,93241472.51,6581443.683,2332953.29,16427959.71,20078791.23,22990245.2,441815.9847,78324823.36,68.36,2656799,399846,20396,129698,428182,37545,979289,1151357,278189,6500750,1416400,10.39,492863021.1,13590300,55.24,44.76
ID.BA,"Bali, Prop.",2017,651026.9144,88965187.76,23458906.48,69011131.8,20686758.94,-48469467.5,2580413.922,99850478.79,50241066.72,30901942.31,2278921.697,19015609.21,11055165.8,518453.0958,8562609.984,4633139.262,11058762.74,13024020.26,2108907.834,3346710.233,10928089.83,8395740.448,20360284.2,388498.7654,18542996.82,74.3,466307,179134,6248,99784,341221,6536,444422,760093,94562,2434450,180130,4.25,215360919.2,4246500,91.68,8.32
ID.BT,"Banten, Prop.",2017,92534.84709,154199520.2,24364094.2,172683580.8,289192169.2,206395736,2541388.821,293344470.6,13555949.18,33134032.93,6089851.181,58783015.08,18784754.34,11970572.11,17026973.66,6672029.307,20562881.86,179959881,4146089.955,9062784.773,11449005.99,41871632.74,61322517.52,449423.1657,69587761.51,71.42,675738,285594,20871,332922,1246230,37392,900185,1203637,374831,5596963,675040,5.45,564429156.3,12448200,38.47,61.53
ID.BE,"Bengkulu, Prop.",2017,1196730.424,3679010.061,12039338.46,24926493.24,389884.5168,-21543556.98,1450489.82,39317057.57,1018518.757,17729634.69,1342388.499,3043964.923,3866859.08,53392.40538,2030969.053,1003471.37,2158530.198,3741174.619,2156619.136,492399.963,5965589.211,2386101.85,4869003.024,118052.1017,8699009.185,69.95,458715,53292,2333,16335,48474,13731,155059,159496,25541,969255,316980,16.45,60675678.07,1934300,49.89,50.11
ID.YO,"DI Yogyakarta, Prop.",2017,1368183.981,7436958.648,20063071.64,37147935.81,6540718.616,-25717207.97,3756395.316,81658286.75,12304098.92,11933401.17,1207969.84,11303629.76,9711307.998,173689.0036,4640943.468,3004111.746,9789585.661,15636602.78,615943.0358,3109029.298,10213350.45,8382668.324,6783680.793,121272.243,10241621.07,78.89,451861,153306,3446,78872,325061,15199,397658,553726,74039,2117187,488530,13.02,119172905.6,3762200,69.03,30.97
ID.JK,"DKI Jakarta, Prop.",2017,42629221.43,342673829.2,305254592.6,944353381.4,1108533158,399729133.7,47743913.85,1436522490,117178064.6,2060960.008,183376545.9,308836860.7,131358936.4,7449251.174,248212688.1,40465406.18,181831459.7,323932117.2,5746495.711,91508558.33,125292224.1,147629158.2,85669282.76,838065.891,408987328.8,80.06,16518,187206,18423,467707,587752,14520,1214689,1518258,484098,4856116,389690,3.77,2410373404,10374200,51.68,48.32
